,0,1
792,冷漠,2
793,抱怨,2
794,共同,2
795,战胜,2
796,恶性事件,2
797,极致,2
798,更是,2
799,路,2
800,眼眶,2
801,过至,2
802,暗,2
803,实,2
804,阅历,2
805,见证,2
806,处世,2
807,开心,2
808,就读,2
809,蛮,2
810,词,2
811,科学家,2
812,相通,2
813,一定,2
814,导致,2
815,解决,2
816,越,2
817,无恒,2
818,德者,2
819,为医,2
820,看清,2
821,件,2
822,看山,2
823,山,2
824,看水,2
825,水,2
826,似乎,2
827,满分,2
828,下午,1
829,分哭,1
830,平静下来,1
831,人去,1
832,互相,1
833,传递,1
834,相处,1
835,相应,1
836,反馈,1
837,格言,1
838,大城市,1
839,裹挟,1
840,听得,1
841,进去,1
842,但陶,1
843,知行合一,1
844,说服力,1
845,抗拒,1
846,类人,1
847,错觉,1
848,受难,1
849,渡劫,1
850,全程,1
851,有活,1
852,三天,1
853,面,1
854,影响,1
855,坦诚,1
856,浑浑噩噩,1
857,播撒,1
858,漫无边际,1
859,尤为,1
860,冷静,1
861,身份,1
862,移情,1
863,包容,1
864,未,1
865,恪守,1
866,操蛋,1
867,次,1
868,泪如雨下,1
869,动力,1
870,决心,1
871,水平,1
872,欠,1
873,两句,1
874,简介,1
875,录,1
876,深沉,1
877,思辨,1
878,人之常情,1
879,常理,1
880,中学生,1
881,李医生,1
882,无数,1
883,之近,1
884,喜怒哀乐,1
885,奶奶,1
886,后现代,1
887,一言难尽,1
888,明明,1
889,苍生,1
890,却说,1
891,扔,1
892,海滩,1
893,沙,1
894,就事论事,1
895,严重,1
896,高估,1
897,出版,1
898,鼻涕,1
899,出版社,1
900,干脆,1
901,拍,1
902,偶像剧,1
903,效果,1
904,比罗翔,1
905,浅,1
906,广阔,1
907,良善,1
908,归结,1
909,本性,1
910,珍惜,1
911,加倍,1
912,酷爱,1
913,刻奇,1
914,造神,1
915,化,1
916,越过,1
917,恶来,1
918,讲善,1
919,幽幽,1
920,无论是,1
921,痛哭流涕,1
922,观众们,1
923,助人,1
924,卸下,1
925,却会,1
926,获得,1
927,永远都是,1
928,信任,1
929,一大半,1
930,一小半,1
931,行,1
932,各门,1
933,各派,1
934,入门,1
935,文词,1
936,修辞,1
937,俗套,1
938,灵气,1
939,无所谓,1
940,文学家,1
941,收藏,1
942,学到,1
943,知识点,1
944,溺水,1
945,春游,1
946,平实,1
947,读过,1
948,课,1
949,我服,1
950,修行,1
951,路上,1
952,师兄,1
953,大学,1
954,抢救,1
955,极端,1
956,知晓,1
957,姓名,1
958,不约而同,1
959,强调,1
960,之恶时,1
961,力量强大,1
962,赋权,1
963,之恶,1
964,可怕,1
965,不让,1
966,吞没,1
967,圆圈,1
968,正义,1
969,刑法学,1
970,讲义,1
971,法学,1
972,看似,1
973,相关,1
974,学科,1
975,善念,1
976,内为,1
977,寻光,1
978,律师,1
979,肩负,1
980,重任,1
981,对不起,1
982,读到,1
983,生死观,1
984,弃,1
985,造作,1
986,高中语文,1
987,训练,1
988,缘故,1
989,一大堆,1
990,空话,1
991,套话,1
992,添,1
993,四五个,1
994,干妈,1
995,妇女,1
996,之友,1
997,导师,1
998,李润要,1
999,素材,1
1000,集锦,1
1001,寥寥,1
1002,啰嗦,1
1003,走马观花,1
1004,博文,1
1005,非要,1
1006,抻,1
1007,性格,1
1008,价值观,1
1009,绝不会,1
1010,人读,1
1011,背,1
1012,警句,1
1013,句子,1
1014,从书中,1
1015,吸收,1
1016,只取,1
1017,突出,1
1018,刺,1
1019,写作文,1
1020,活成,1
1021,不太,1
1022,流量,1
1023,挣钱,1
1024,如果说,1
1025,三个,1
1026,钟南山,1
1027,张文宏,1
1028,旁观者,1
1029,旁观,1
1030,泪流满面,1
1031,人活,1
1032,无地自容,1
1033,幸福美满,1
1034,健全人,1
1035,鸡毛蒜皮,1
1036,小事,1
1037,劳神,1
1038,福中,1
1039,福,1
1040,胸襟,1
1041,纬度,1
1042,知足常乐,1
1043,早日康复,1
1044,同事,1
1045,皮,1
1046,埃斯,1
1047,风趣,1
1048,欠揍,1
1049,古板,1
1050,形象,1
1051,描写,1
1052,活灵活现,1
1053,太多人,1
1054,糊口,1
1055,晚上,1
1056,周五,1
1057,作业,1
1058,拖,1
1059,一拖,1
1060,一页,1
1061,棒,1
1062,知己,1
1063,中年,1
1064,好奇心,1
1065,兴趣,1
1066,剩下,1
1067,死,1
1068,体验,1
1069,谢谢,1
1070,何谓,1
1071,手握,1
1072,屠刀,1
1073,两星,1
1074,结合,1
1075,不错,1
1076,拉,1
1077,胯,1
1078,缺自,1
1079,然,1
1080,年纪,1
1081,明说,1
1082,博,1
1083,谦虚,1
1084,虚名,1
1085,专业,1
1086,贬义,1
1087,成长史,1
1088,教育史,1
1089,有没有,1
1090,发笑,1
1091,这起,1
1092,纠纷,1
1093,架不起,1
1094,理解消化,1
1095,根本,1
1096,顶顶,1
1097,高级,1
1098,欣赏,1
1099,文学性,1
1100,饱满,1
1101,上来,1
1102,至多是,1
1103,及格线,1
1104,观点,1
1105,稍微,1
1106,点,1
1107,悟出来,1
1108,上下班,1
1109,我敬,1
1110,五颗星,1
1111,知易行难,1
1112,我非,1
1113,从头到尾,1
1114,究竟,1
1115,单凭,1
1116,风雨,1
1117,过后,1
1118,看得见,1
1119,彩虹,1
1120,喝彩,1
1121,讲故事,1
1122,一味,1
1123,乏善可陈,1
1124,几件,1
1125,抽丝剥茧,1
1126,稍,1
1127,显,1
1128,生硬,1
1129,引起,1
1130,说教式,1
1131,不适,1
1132,忍,1
1133,第二章,1
1134,只论,1
1135,翻,1
1136,一翻,1
1137,发,1
1138,天之骄子,1
1139,租房,1
1140,公立医院,1
1141,飞来横祸,1
1142,迅速,1
1143,调整,1
1144,大半生,1
1145,应当,1
1146,感到,1
1147,歇斯底里,1
1148,控诉,1
1149,英雄主义,1
1150,海外,1
1151,购买,1
1152,亚马逊,1
1153,版,1
1154,随笔集,1
1155,德国,1
1156,访问学者,1
1157,海德堡,1
1158,哲学家,1
1159,小径,1
1160,散步,1
